i,j,kind,rvec_x,rvec_y,rvec_z,t_x,t_y,t_z
0,1,odom,-0.1808533741124677,-0.01048254944415564,0.013834436735995494,0.009571459019448515,-0.14930015872214175,0.010847953725637106
1,2,odom,-0.12691260882299943,-0.00033092132147971755,0.018018281059592432,0.001240774677491259,-0.1498962578467114,0.0054222397601651545
2,3,odom,-0.6896757246842494,-0.014033021499428823,0.11612032917661233,0.03250088239603845,-0.414847445276457,0.14094010701975013
3,4,odom,-0.16663678898275563,0.003943196824988601,0.013053827329420663,-0.002754313888340082,-0.14943716252953132,0.012679768626192765
4,5,odom,-0.12143396264163286,0.0025350913664516435,0.010025213235332602,-0.002288110381602911,-0.14975608896248863,0.00822840761007999
5,6,odom,-0.20321426901265272,0.0006990221875060117,0.01875869839116312,0.0004295267762657733,-0.07477715251823759,0.00763911902213835
6,7,odom,-0.13269596438659462,-0.004369101596078858,0.012046688133354336,0.002884116996859537,-0.07507357474133468,0.002409028044915612
